protocol,pool_id,symbol,name,contract_address,accepts_usdc,tvl_usd,total_debt_usd,utilization_rate,apy_base,apy_reward,apy_total,apy_borrow_variable,ltv,liquidation_threshold,liquidation_bonus,decimals
HypurrFi,0x5555555555555555555555555555555555555555,WHYPE,Wrapped HYPE,0x7C97cd7B57b736c6AD74fAE97C0e21e856251dcf,False,32019490.45,16173851.22,50.5125,0.4546,0.0,0.4546,1.1288,68.0,80.0,112.0,18
HypurrFi,0x94e8396e0869c9F2200760aF0621aFd240E1CF38,wstHYPE,Staked HYPE Shares,0xC8b6E0acf159E058E22c564C0C513ec21f8a1Bf5,False,8142782.67,774164.36,9.5074,0.1352,0.0,0.1352,1.792,60.0,75.0,108.0,18
HypurrFi,0xca79db4B49f608eF54a5CB813FbEd3a6387bC645,USDXL,Last USD,0x7911c2c9c5f5a6f4Bef58d7dF35903abd3EE9DD6,False,0.0,282627.43,0.0,0.0,0.0,0.0,10.5171,0.0,0.0,0.0,18
HypurrFi,0x9FDBdA0A5e284c32744D2f17Ee5c74B284993463,UBTC,Unit Bitcoin,0x02379E4a55111d999Ac18C367F5920119398b94B,False,6915427.84,437555.1,6.3272,0.016,0.0,0.016,0.3169,60.0,70.0,112.0,8
HypurrFi,0xBe6727B535545C67d5cAa73dEa54865B92CF7907,UETH,Unit Ethereum,0x68717797aAAe1b009C258b6fF5403AeCCB7010c0,False,4719197.21,1717862.74,36.4016,0.5314,0.0,0.5314,1.8366,68.0,83.0,112.0,18
HypurrFi,0x5d3a1Ff2b6BAb83b63cd9AD0787074081a52ef34,USDe,USDeOFT,0xe8F7D82A73f13A64d689e7ddAD06139BFb51f9C6,False,476712.77,267110.59,56.0318,3.8357,0.0,3.8357,8.7638,0.0,0.0,0.0,18
HypurrFi,0x02c6a2fA58cC01A18B8D9E00eA48d65E4dF26c70,feUSD,feUSD,0xAEA02692F502b47e116bdfA9a4CeB3138Bd8B516,False,43647.89,37425.55,85.7442,18.9759,0.0,18.9759,28.8466,0.0,0.0,0.0,18
HypurrFi,0xB8CE59FC3717ada4C02eaDF9682A9e934F625ebb,USD₮0,USD₮0,0x1Ca7e21B2dAa5Ab2eB9de7cf8f34dCf9c8683007,False,5712271.85,2529986.37,44.2904,2.3804,0.0,2.3804,6.867,65.0,80.0,108.0,6
HypurrFi,0xb50A96253aBDF803D85efcDce07Ad8becBc52BD5,USDHL,Hyper USD,0xFd32712A1cb152c03a62D54557fcb1dE372ABfe9,False,99808.37,58922.65,59.0358,4.2584,0.0,4.2584,9.2454,60.0,80.0,108.0,6
HypurrFi,0x068f321Fa8Fb9f0D135f290Ef6a3e2813e1c8A29,USOL,Unit Solana,0x64A0f4Ed4151d6381c509C0E64f0257e179120EC,False,633955.72,517535.78,81.636,6.706,0.0,6.706,10.456,60.0,70.0,112.0,9
HypurrFi,0xfD739d4e423301CE9385c1fb8850539D657C296D,kHYPE,Kinetiq Staked HYPE,0xCAe9e2A86c146b084169E170E63d340bF34d6b83,False,11702374.55,254455.2,2.1744,0.0205,0.0,0.0205,1.1845,60.0,75.0,108.0,18
HypurrFi,0xf4D9235269a96aaDaFc9aDAe454a0618eBE37949,XAUt0,XAUt0,0x22ee197111BC4c009Da9174113526290Fa500DC1,False,279980.08,67279.23,24.03,0.2312,0.0,0.2312,1.2087,20.0,40.0,108.0,6
HypurrFi,0xfDD22Ce6D1F66bc0Ec89b20BF16CcB6670F55A5a,thBILL,thBILL,0xf9C625FAf1160f00E3AC16e8e3e24F09B107ae53,False,3780708.1,1322361.84,34.9766,1.4783,0.0,1.4783,5.3855,40.0,60.0,108.0,6
HypurrFi,0x211Cc4DD073734dA055fbF44a2b4667d5E5fE5d2,sUSDe,Staked USDe,0x85c88bfBbb3Cf5178bDc4f90289c9aFDbBCc1ED9,False,65.53,0.0,0.0,0.0,0.0,0.0,0.0,20.0,40.0,108.0,18
HypurrFi,0x311dB0FDe558689550c68355783c95eFDfe25329,PT-kHYPE-13NOV2025,PT Kinetiq Staked HYPE 13NOV2025,0x68A0d8F2dfe817F3A6Aa85EE430D42BA256fC8f4,False,32642.15,0.0,0.0,0.0,0.0,0.0,0.0,1.0,20.0,108.0,18
HypurrFi,0xd8FC8F0b03eBA61F64D08B0bef69d80916E5DdA9,beHYPE,hyperbeat x ether.fi HYPE,0x3b967db41B6bE6A42B3F42077Ee707aF2F45713e,False,1247162.16,264374.83,21.1981,0.1799,0.0,0.1799,1.0655,60.0,75.0,108.0,18
HypurrFi,0xb88339CB7199b77E23DB6E890353E22632Ba630f,USDC,USDC,0x280535137Dd84080d97d0826c577B4019d8e1BEb,True,2556937.64,2079592.97,81.3314,5.9171,0.0,5.9171,9.2421,65.0,80.0,108.0,6
HypurrFi,0x111111a1a0667d36bD57c0A9f569b98057111111,USDH,USDH,0x5F137306A1692207624FB0f012ac19fD42698756,False,439843.64,354785.94,80.6618,4.1797,0.0,4.1797,6.5541,65.0,80.0,108.0,6
HypurrFi,0xea84ca9849D9e76a78B91F221F84e9Ca065FC9f5,PT-kHYPE-19MAR2026,PT Kinetiq Staked HYPE 19MAR2026,0xB55780B08b18A57590e7B2729CaeA5a6818Ba035,False,630478.25,0.0,0.0,0.0,0.0,0.0,0.0,1.0,20.0,108.0,18
