protocol,pool_id,symbol,name,contract_address,market_type,accepts_usdc,tvl_usd,total_debt_usd,utilization_rate,apy_base,apy_reward,apy_total,apy_borrow_variable,ltv,liquidation_threshold,liquidation_bonus,decimals
Felix,0x5555555555555555555555555555555555555555,WHYPE,Felix WHYPE CDP,0x39EbBA742B6917D49D4a9Ac7cf5c70f84d34cC9E,CDP,False,31531919.8,0.0,0.0,0.0,0.0,0.0,0.0,90.9,110.0,0.0,18
Felix,0x9FDBdA0A5e284c32744D2f17Ee5c74B284993463,UBTC,Felix UBTC CDP,0x8D99575EBbBda038a626cA769561C16Fdd7a5939,CDP,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,90.9,110.0,0.0,8
Felix,0xfD739d4e423301CE9385c1fb8850539D657C296D,kHYPE,Felix kHYPE CDP,0xBfd0b103A49fAf426F36864d19F5d871BF411a5A,CDP,False,4583406.07,0.0,0.0,0.0,0.0,0.0,0.0,90.9,110.0,0.0,18
Felix,0x94e8396e0869c9F2200760aF0621aFd240E1CF38,wstHYPE,Felix wstHYPE CDP,0x7ABcA40474D6B5F000f801d7FE7e0df4C89425fF,CDP,False,1121625.01,0.0,0.0,0.0,0.0,0.0,0.0,90.9,110.0,0.0,18
Felix,0x835FEBF893c6DdDee5CF762B0f8e31C5B06938ab,feUSDe,USDe Vault,0x835FEBF893c6DdDee5CF762B0f8e31C5B06938ab,Lending,False,2631723.29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18
Felix,0xFc5126377F0efc0041C0969Ef9BA903Ce67d151e,feUSDT0,USDT0 Vault,0xFc5126377F0efc0041C0969Ef9BA903Ce67d151e,Lending,False,10158584.93,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6
Felix,0x9896a8605763106e57A51aa0a97Fe8099E806bb3,feUSDT02,USDT0 (Frontier),0x9896a8605763106e57A51aa0a97Fe8099E806bb3,Lending,False,3951040.95,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6
Felix,0x9c59a9389D8f72DE2CdAf1126F36EA4790E2275e,feUSDhl,USDhl Vault,0x9c59a9389D8f72DE2CdAf1126F36EA4790E2275e,Lending,False,1476564.31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6
Felix,0x66c71204B70aE27BE6dC3eb41F9aF5868E68fDb6,feUSDhl2,USDhl (Frontier),0x66c71204B70aE27BE6dC3eb41F9aF5868E68fDb6,Lending,False,133583.98,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6
Felix,0x2900ABd73631b2f60747e687095537B673c06A76,feHYPE,HYPE Vault,0x2900ABd73631b2f60747e687095537B673c06A76,Lending,False,39742171.91,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18
