symbol,tvl_usd,apy_percent,asset_address,h_token_address,price_usd
WHYPE,32114264.67,0.4546,0x5555555555555555555555555555555555555555,0x7C97cd7B57b736c6AD74fAE97C0e21e856251dcf,26.51735108
wstHYPE,8166914.02,0.1352,0x94e8396e0869c9F2200760aF0621aFd240E1CF38,0xC8b6E0acf159E058E22c564C0C513ec21f8a1Bf5,26.98659514
USDXL,0.0,0.0,0xca79db4B49f608eF54a5CB813FbEd3a6387bC645,0x7911c2c9c5f5a6f4Bef58d7dF35903abd3EE9DD6,1.0
UBTC,6958185.82,0.016,0x9FDBdA0A5e284c32744D2f17Ee5c74B284993463,0x02379E4a55111d999Ac18C367F5920119398b94B,90743.47305381
UETH,4756063.29,0.5314,0xBe6727B535545C67d5cAa73dEa54865B92CF7907,0x68717797aAAe1b009C258b6fF5403AeCCB7010c0,3142.12640696
USDe,476752.92,3.8357,0x5d3a1Ff2b6BAb83b63cd9AD0787074081a52ef34,0xe8F7D82A73f13A64d689e7ddAD06139BFb51f9C6,0.99959176
feUSD,43651.36,18.9759,0x02c6a2fA58cC01A18B8D9E00eA48d65E4dF26c70,0xAEA02692F502b47e116bdfA9a4CeB3138Bd8B516,1.00108758
USD₮0,5712346.82,2.4455,0xB8CE59FC3717ada4C02eaDF9682A9e934F625ebb,0x1Ca7e21B2dAa5Ab2eB9de7cf8f34dCf9c8683007,0.998766
USDHL,99842.79,4.2584,0xb50A96253aBDF803D85efcDce07Ad8becBc52BD5,0xFd32712A1cb152c03a62D54557fcb1dE372ABfe9,0.9988273
USOL,637528.26,6.706,0x068f321Fa8Fb9f0D135f290Ef6a3e2813e1c8A29,0x64A0f4Ed4151d6381c509C0E64f0257e179120EC,136.64218549
kHYPE,11736374.38,0.0205,0xfD739d4e423301CE9385c1fb8850539D657C296D,0xCAe9e2A86c146b084169E170E63d340bF34d6b83,26.768883
XAUt0,280322.8,0.2312,0xf4D9235269a96aaDaFc9aDAe454a0618eBE37949,0x22ee197111BC4c009Da9174113526290Fa500DC1,4427.178
thBILL,3780706.16,1.4783,0xfDD22Ce6D1F66bc0Ec89b20BF16CcB6670F55A5a,0xf9C625FAf1160f00E3AC16e8e3e24F09B107ae53,1.01536922
sUSDe,65.53,0.0,0x211Cc4DD073734dA055fbF44a2b4667d5E5fE5d2,0x85c88bfBbb3Cf5178bDc4f90289c9aFDbBCc1ED9,1.21505917
PT-kHYPE-13NOV2025,32738.92,0.0,0x311dB0FDe558689550c68355783c95eFDfe25329,0x68A0d8F2dfe817F3A6Aa85EE430D42BA256fC8f4,26.51735108
beHYPE,1250859.12,0.1799,0xd8FC8F0b03eBA61F64D08B0bef69d80916E5DdA9,0x3b967db41B6bE6A42B3F42077Ee707aF2F45713e,26.51735108
